City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
267,dudinka,16,RU,1647875501,97,69.4058,86.1778,-3.39,8.66
268,ocnita,52,RO,1647875505,38,44.9833,25.55,56.1,8.5
269,jeremoabo,16,BR,1647875505,37,-10.075,-38.4808,92.05,9.71
270,lufkin,100,US,1647875506,94,31.3382,-94.7291,64.6,11.79
271,bethel,0,US,1647875506,49,41.3712,-73.414,53.02,8.05
272,half moon bay,0,US,1647875506,82,37.4636,-122.4286,53.62,6.91
273,jumla,79,NP,1647875507,46,29.2747,82.1838,50.22,3.42
274,cayenne,75,GF,1647875507,1,4.9333,-52.3333,78.84,5.75
275,aliwal north,97,ZA,1647875507,43,-30.6937,26.7114,73.11,9.19
276,poso,94,ID,1647875509,85,-1.3959,120.7524,76.51,3.51
277,chesma,77,RU,1647875346,87,53.8111,60.6533,19.29,9.31
278,naze,75,JP,1647875395,87,28.3667,129.4833,65.46,19.91
279,kargasok,100,RU,1647875511,94,59.0556,80.8572,20.05,10.8
280,taitung,6,TW,1647875226,87,22.7583,121.1444,76.48,6.4
281,hualmay,77,PE,1647875511,74,-11.0964,-77.6139,73.49,9.42
282,katsuura,100,JP,1647875472,75,35.1333,140.3,53.91,8.21
283,griffith,0,US,1647875513,52,41.5284,-87.4237,61.14,16.11
284,barra patuca,96,HN,1647875514,66,15.8,-84.2833,81.88,10.22
285,aksu,65,CN,1647875514,80,41.1231,80.2644,41.94,7.9
286,sioux lookout,93,CA,1647875516,84,50.1001,-91.917,29.8,10.94
287,andenes,75,NO,1647875517,65,69.3143,16.1194,39.18,26.46
288,srandakan,100,ID,1647875520,86,-7.9386,110.2506,79.11,7.43
289,kapit,100,MY,1647875520,100,2.0167,112.9333,73.54,2.21
290,mstera,9,RU,1647875521,77,56.3789,41.92,35.44,7.34
291,tura,14,IN,1647875521,41,25.5198,90.2201,77.34,4.79
292,manzhouli,17,CN,1647875523,81,49.6,117.4333,13.87,9.66
293,kavieng,69,PG,1647875524,77,-2.5744,150.7967,81.99,6.42
294,lagoa,85,PT,1647875525,59,39.05,-27.9833,56.61,28.07
295,waitati,100,NZ,1647875526,89,-45.75,170.5667,59.81,11.81
296,lianzhou,100,CN,1647875527,96,24.7811,112.3825,70.88,3.62
297,ketchikan,100,US,1647875527,87,55.3422,-131.6461,43.27,13.8
298,pitsunda,38,GE,1647875529,76,43.1592,40.3378,46.18,1.72
299,kuytun,66,RU,1647875529,98,54.3419,101.5036,6.33,1.28
300,cap-aux-meules,100,CA,1647875529,95,47.3821,-61.8597,29.44,17.29
301,christchurch,75,NZ,1647875415,94,-43.5333,172.6333,62.01,19.57
302,yanam,99,IN,1647875504,79,16.7333,82.2167,80.55,2.04
303,bilma,28,NE,1647875532,4,18.6853,12.9164,97.63,5.5
304,havre-saint-pierre,100,CA,1647875532,69,50.2334,-63.5986,30.56,9.22
305,badarpur,51,IN,1647875533,29,24.9,92.6,79.39,3.56
